"Rank","Title","English Title","URL","Image URL","Score","Users Rated","Episodes","Genres","Studios","Synopsis","Popularity","Ranked"
"12522","Ariel Visual","","https://myanimelist.net/anime/2839/Ariel_Visual","https://cdn.myanimelist.net/r/50x70/images/anime/13/56395.jpg?s=7f36745ebd8dcf94593d1a9c0a0a1029","5.38","1128","2","Action, Comedy, Sci-Fi, Mecha","J.C.Staff","To save the Earth from alien invaders and their giant monsters, Dr. Kishida does what any other red-blooded mad scientist would do: he builds a giant robot—the ultimate feminine fighting robot!   Unfortunately, his grand-daughters refuse to pilot it! Apparently, they've got more important things to do than becoming teenage super-heroes. Besides, how are you supposed to study for your college entrance exams while getting beaten-up in battle?   Fortunately for Dr. Kishida, things aren't too well for the invaders, either. According to their reports, the Earth was the perfect target: lush, peaceful, and relatively defenseless. Theoretically, the planet should've surrendered long ago. Now, the war is at a standstill, the dreaded Accounting Department is warning about the serious cost overruns, and the head of the home office has arrived from Galactic Headquarters to personally oversee operations. Has Headquarters decided to unleash, The Audit—or do they have something even more evil in mind?   The fate of the world rests upon two people: Aya Kishida, one of the doctor's granddaughters, who may have to give up prep school to pilot the mighty (and lovely) ARIEL; and a mysterious alien named Saber Starblast, who may have the power to defeat the invaders once and for all...   (Source: AnimeNfo)","#10623","#12522"
"12523","Babyshiba","","https://myanimelist.net/anime/33548/Babyshiba","https://cdn.myanimelist.net/r/50x70/images/anime/4/80693.jpg?s=1efe1e712d93c07b4ad65615b50b66b8","5.38","343","7","Comedy","add some","The Mameshiba family has grown with their infant counterparts.   Contains:  2 Babyshiba Fruits commercials  2 Babyshiba Sweets commercials  2 Babyshiba claymation commercials  1 Babyshiba Fruits claymation commercial","#15294","#12523"
"12524","Bright: Samurai Soul","","https://myanimelist.net/anime/49165/Bright__Samurai_Soul","https://cdn.myanimelist.net/r/50x70/images/anime/1024/119043.jpg?s=50616f0df045717327a07c80a20f134c","5.38","2146","1","Action, Adventure, Fantasy","ARECT","In the early years of Japan's Meiji Restoration, a human ronin must unite with an orc assassin to save an elf orphan from their common adversary.   (Source: Netflix)","#8495","#12524"
"12525","Capricorn","","https://myanimelist.net/anime/2053/Capricorn","https://cdn.myanimelist.net/r/50x70/images/anime/6/2954.jpg?s=35086ffb73adb54771cf122fc836c2e2","5.38","1814","1","Adventure, Comedy, Fantasy, Sci-Fi, Isekai, Shoujo","Aubec","In the blink of an eye, high school student Taku Shimamura finds himself transported to the bizarre world of Slaffleaze, where intelligent creatures govern and the ruling class, led by the villainous Zolba, is plotting the invasion of the world they know as Capricorn, the Earth. Joining together with the oppressed Slaffleaze peasants, Taku must find a way to stop Zolba`s dark forces before the way to the unsuspecting Earth is opened. In order to do so, he must first gain the love and trust of the last of the Yappie, the ancestral guardians of Slaffeaze. This is a task that will take more than a little courage and daring, for the last Yappie is not just a cute young female, she`s also a dragon.   (Source: ANN)","#9433","#12525"
"12526","Channeler","","https://myanimelist.net/anime/39273/Channeler","https://cdn.myanimelist.net/r/50x70/images/anime/1369/99063.jpg?s=3a7c54f01d565471c7b3b353d6356e2b","5.38","136","1","Music","add some","Abstract animated short film by Takashi Ohashi, visually syncing Japanese hip-hop with with a variety of symbols and shapes.","#19290","#12526"
"12527","Cheating Craft","","https://myanimelist.net/anime/33771/Cheating_Craft","https://cdn.myanimelist.net/r/50x70/images/anime/9/81891.jpg?s=8d8b474e6a7cf470c95282ab91eac0b1","5.38","25438","12","Action, Comedy, School","Blade","In a world where academic success decides your entire future, the exam room becomes a ruthless battlefield. Passing the exams guarantees a successful future. Failing dooms you to live a cruel life, tormented by suffering and despair. Only the most intelligent—or cunning—students make it out alive. These are the two strategies of combat: spend your entire life studying for the test, or perfect your cheating strategy. The students who dedicate themselves to studying are called “Learning Type” students, and they are forced to collaborate with a “Cheating Type” student in order to battle their rivals for the top grades.    The cheater Zhuge Mu Ming and studious academic Qiao Yi Huang decide to team up against the exams. However, the allies are soon divided, becoming bitter rivals. Will they be able to make it on their own? And if so, who will survive the challenge and emerge victorious?   [Written by MAL Rewrite]","#2733","#12527"
"12528","Copihan","","https://myanimelist.net/anime/10801/Copihan","https://cdn.myanimelist.net/r/50x70/images/anime/10/75584.jpg?s=6240051ed37a09afdc443b05a2bb4197","5.38","4114","7","Comedy, Sci-Fi, School","Gonzo","A school comedy taking place in Tokyo in 2034. Copihan is a joint project of Gonzo and Kei, the illustrator of the manga version of Copihan who is best known for Hatsune Miku.","#7056","#12528"
"12529","Devidol!","","https://myanimelist.net/anime/38284/Devidol","https://cdn.myanimelist.net/r/50x70/images/anime/1094/93923.jpg?s=2cbed4d308fa53d15c869f0223f90960","5.38","681","11","Comedy","add some","Three devil girls Aira, Shima, and Hana live in the human world. Leading a dazzling school life with efforts and friendships, they aim to be idols. It's a heart-bumping anime climbing that stairs... Not! They don't know the answer to ""What is Idol?"" and weaver in the road to becoming an idol with trials and errors. Rocket-sensei will kindly (and sometimes strictly) lead them to become real idols in an unique way... for sure.    (Source: MAL News)","#10237","#12529"
"12530","Galerians: Rion","","https://myanimelist.net/anime/1611/Galerians__Rion","https://cdn.myanimelist.net/r/50x70/images/anime/11/38577.jpg?s=bf3be47dc96da6a1f58a8e1e43dd0419","5.38","1524","3","Adventure, Drama, Horror, Mystery, Sci-Fi, Supernatural, Suspense, Military, Psychological","add some","In the 26th century, Rion Steiner awakens in a hospital to the sound of a girl's voice in his head. Unable to remember who he is, he uses psychic powers to break out and sets out to discover himself, and the truth behind those who are after him - the Galerians. Their mother Dorothy, the super-computer with a God complex, will not sit idly by, as he holds the only key to the program that can destroy her.   [Witten by Ebo]","#9780","#12530"
"12531","Growlanser IV: Wayfarer of the Time","Growlanser IV: Wayfarer of Time","https://myanimelist.net/anime/1933/Growlanser_IV__Wayfarer_of_the_Time","https://cdn.myanimelist.net/r/50x70/images/anime/1135/106141.jpg?s=108a8a96d291a7700cc7e2a45f5a281f","5.38","796","1","Action","feel., Zexcs","A promotional ova that came with the PS2 game, Growlanser IV Returns which is an add-on featuring a compilation of three short stories that is told in visual novel style.  Since it is a promotional ova, various main characters from Growlanser I, Growlanser II, and Growlanser III do appear in the ED. Actually, some of the fairies of these main characters do appear in Growlanser IV as that the entire Growlanser story is based on anti-war featuring time freeze, time traveling, and parallel worlds.","#11689","#12531"
"12532","Hanaori","The Breaking of Branches is Forbidden","https://myanimelist.net/anime/7255/Hanaori","https://cdn.myanimelist.net/r/50x70/images/anime/1204/135491.jpg?s=d0e53a8a5fa5667f7257237cfebd29a9","5.38","531","1","Comedy","add some","The head monk orders a young acolyte to guard a beautiful cherry tree in the monastery garden while he goes out. But the older man underestimates his colleague’s fondness for sake. As it so happens, a samurai warrior and his servant decide to have a picnic feast in the same garden under the blossoming tree. The acolyte refuses to let them in, but when he smells their sake, his determination is put to the test.... Made in 1968, director Kawamoto’s first puppet film is a moral tale about a disciple who was justly punished for a momentary lapse.    (Source: AniDB)","#13901","#12532"
"12533","Hayou no Tsurugi: Shikkoku no Mashou","","https://myanimelist.net/anime/5930/Hayou_no_Tsurugi__Shikkoku_no_Mashou","https://cdn.myanimelist.net/r/50x70/images/anime/13/41089.jpg?s=ee9c3c836fbcd48afb28ce8242a5ab65","5.38","263","2","Fantasy, Supernatural, Shoujo","Magic Bus","A resident of the Floating Castle that battle demon beings, the girl Rasutel (Rasu), chosen by the willful lady, the Demon-Breaker sword, is sent on a quest to save a princess kidnapped by a Youki. Her quest is helped by a mysterious Youki called Anshu (but he has basic color that usual Youkis do not have.... hehe!). She is also hampered in her quest by her demon-being oriented younger brother who seeks her golden eyes, the heritage of their father, the Golden Youshu.    (Source: AniDB)","#14081","#12533"
"12534","Hokori Inu no Hanashi","The Cloudy Dog Talk About","https://myanimelist.net/anime/32636/Hokori_Inu_no_Hanashi","https://cdn.myanimelist.net/r/50x70/images/anime/9/78345.jpg?s=a0f1a10c6dfa4893f77875300f5580b2","5.38","334","1","Avant Garde","add some","Dogs all end up to be a dusty dog. Dogs’ dust consists of  pride of themselves and that of you.  The film is of the memory, love and gratitude of the dusty dog,  and many other dogs, tracing their senses and memories,  dedicating to you who gave love to them.    (Source: Official Site)","#15979","#12534"
"12535","Hoshi no Samidare: Zenhan-sen","Lucifer and the Biscuit Hammer Recap","https://myanimelist.net/anime/53131/Hoshi_no_Samidare__Zenhan-sen","https://cdn.myanimelist.net/r/50x70/images/anime/1340/128357.jpg?s=c199105808369428b686a378df890ca8","5.38","914","1","Action, Adventure, Comedy, Drama","NAZ","Recap of the first 12 episodes of Hoshi no Samidare from Noi's point-of-view.","#10708","#12535"
"12536","Hwanggeum Cheolin","The Golden Iron Man","https://myanimelist.net/anime/16808/Hwanggeum_Cheolin","https://cdn.myanimelist.net/r/50x70/images/anime/3/45148.jpg?s=6fbe2da90456ee932e2bdd0b3eac432e","5.38","131","1","Action, Adventure, Mythology, Super Power, Kids","add some","The titular hero sets out on a journey to the underworld.","#17355","#12536"
"12537","Idol Memories","","https://myanimelist.net/anime/33572/Idol_Memories","https://cdn.myanimelist.net/r/50x70/images/anime/6/80935.jpg?s=6ab0891a0b48ba48cf9f2d718c571276","5.38","2198","12","Idols (Female), Music","Seven Arcs Pictures","The story of Idol Memories is set in the near future, where live idol music performances in virtual reality have become commonplace. Against this backdrop, a pair of rival idol groups compete for the coveted ""tiara,"" which represents the number one spot in the ""Idol League.""   (Source: Crunchyroll)","#6982","#12537"
"12538","15 Sonyeon Uju Pyoryugi","","https://myanimelist.net/anime/18305/15_Sonyeon_Uju_Pyoryugi","https://cdn.myanimelist.net/r/50x70/images/anime/13/49071.jpg?s=3a37425f894f3e4e1a36a3b3a314efb7","5.37","169","1","Action, Sci-Fi, Space","add some","A Korean film about a group of children saving the galaxy.","#15868","#12538"
"12539","Al Caral no Isan","Legacy of Aru Kararu","https://myanimelist.net/anime/6078/Al_Caral_no_Isan","https://cdn.myanimelist.net/r/50x70/images/anime/12/13281.jpg?s=93a135cb0e6267f2175cdaf304b89f40","5.37","734","1","Sci-Fi, Space, Seinen","animate Film","In the 26th century, humans discover a humanoid race living on the distant world GO/7498/2, a dark-skinned, golden-eyed people who seem to eke out a primitive, carefree existence. However, a scout team from Earth discovers that there is more to them than meets the eye--they live in symbiosis with vicious reptilian parasites, and the Terran scientists have upset the delicate natural balance.   (Source: The Anime Encyclopedia)","#12153","#12539"
"12540","Happy Forest","","https://myanimelist.net/anime/36097/Happy_Forest","https://cdn.myanimelist.net/r/50x70/images/anime/9/87223.jpg?s=e92a1df3be09e1f20a6c48689932379c","5.37","273","1","Fantasy, Slice of Life","Marza Animation Planet","A short film created to demonstrate Real Time Engine technology. It features a young, curious dragon exploring the forest.","#16623","#12540"
"12541","Houkago no Pleiades: Manner Movie","","https://myanimelist.net/anime/10710/Houkago_no_Pleiades__Manner_Movie","https://cdn.myanimelist.net/r/50x70/images/anime/11/29512.jpg?s=dffed009bb10574d4c1f85cd6527c78b","5.37","804","1","","Gainax","A manner movie based on the Houkago no Pleiades anime.   A manner movie is a reminder video shown in theaters before the main movie starts, it is there to remind the audience to turn off their mobile phones, avoid talking, etc. This Houkago no Pleiades manner movie was exclusive to the United Cinemas theater chain.   (Source: AniDB)","#11087","#12541"
"12542","Hulaing Babies Petit","","https://myanimelist.net/anime/40758/Hulaing_Babies_Petit","https://cdn.myanimelist.net/r/50x70/images/anime/1454/104460.jpg?s=0809a05040ffbf638efff2a1b7b66089","5.37","189","12","Comedy, Slice of Life, Performing Arts","Fukushima Gaina","No synopsis information has been added to this title. Help improve our database by adding a synopsis here.","#14003","#12542"
"12543","Inferno Cop: Fact Files","","https://myanimelist.net/anime/17843/Inferno_Cop__Fact_Files","https://cdn.myanimelist.net/r/50x70/images/anime/9/47569.jpg?s=5de8c39a739b2b5ecf9e1ccdc6291a02","5.37","6460","12","Action, Comedy, Detective","CoMix Wave Films, Trigger","There are 12 companion pieces in the forms of ""Fact Files"" (which expand upon a given character from a corresponding episode) airing shortly after each episode.","#6226","#12543"
"12544","Katte ni Shirokuma","Whatever, White Bear","https://myanimelist.net/anime/9832/Katte_ni_Shirokuma","https://cdn.myanimelist.net/r/50x70/images/anime/11/27218.jpg?s=04b8eb9f394d6708760bde3e9285ca3c","5.37","362","1","Comedy, Anthropomorphic, Seinen","AIC","Shiro is a dim-witted albino bear who lives with his mother and siblings in a remote forest, fishing and hunting for food on a daily basis. One day, a chance encounter with a tortoise leads the family to take an unexpected adventure far from their home. As they encounter various mysterious artifacts on their way back to the forest, they unexpectedly stumble upon a peculiar and unique sight: an abandoned city.   [Written by MAL Rewrite]","#14754","#12544"
"12545","Koi wa 1-nichi ni Shite Narazu","","https://myanimelist.net/anime/47618/Koi_wa_1-nichi_ni_Shite_Narazu","https://cdn.myanimelist.net/r/50x70/images/anime/1592/112485.jpg?s=8a623781d8adfde4274111ad7ccc58bd","5.37","189","1","Slice of Life","Geek Toys","Mitsuki Hattori has been recklessly overworking in hopes of becoming the right-hand man to her section chief, Watanabe, one day. Having always admired him from afar, she is saddened to learn that he will soon be transferring sections. Before he leaves, Mitsuki wants Watanabe to notice how pretty she is.   [Written by MAL Rewrite]","#15997","#12545"
"12546","Kusoge tte Iuna! Animation","Don't Call Us a Junk Game!","https://myanimelist.net/anime/42946/Kusoge_tte_Iuna_Animation","https://cdn.myanimelist.net/r/50x70/images/anime/1046/111081.jpg?s=00fa66cd2b81173c2ffc3c09bb20873a","5.37","1356","12","Comedy, Video Game","Charaction","The story centers on an RPG that people call ""kusoge"" (""crap-tier game,"" referring to games with quirky or badly implemented mechanics and design). The main character Lidays decides to change the game's story, meeting with other characters while the game isn't being played. But as they flub their lines, the situation spirals out of control.   (Source: ANN)","#10881","#12546"
"12547","Mahou Shoujo? Naria☆Girls Nama de Anime wo Tsukuru Sama","","https://myanimelist.net/anime/33723/Mahou_Shoujo_Naria☆Girls_Nama_de_Anime_wo_Tsukuru_Sama","https://cdn.myanimelist.net/r/50x70/images/anime/8/81105.jpg?s=ac562a4210cb00772d4ab3070207b11d","5.37","136","12","Comedy, Mahou Shoujo","Bouncy","Urara, Hanabi, and Inaho are three girls who aim to become nationally-renowned characters by creating animation of themselves! They chose the magical girl theme to catch the attention of everyone from children to adults! Can they safely become popular characters in a one-cours magical girl anime?   (Source: MAL News)","#15026","#12547"
"12548","Patty & Jimmy no Kimikoso Superstar","Patty and Jimmy in You're a Superstar!","https://myanimelist.net/anime/22609/Patty___Jimmy_no_Kimikoso_Superstar","https://cdn.myanimelist.net/r/50x70/images/anime/2/59003.jpg?s=d92ba91fdcc849cb6056a6a2ea6c57e5","5.37","145","1","Sports, Team Sports, Kids","add some","Jimmy is having trouble with pitching a baseball; Patty finds a way to encourage Jimmy to do better.","#17708","#12548"
"12549","Shin Shinka no Mi Gekijou Special","","https://myanimelist.net/anime/56638/Shin_Shinka_no_Mi_Gekijou_Special","https://cdn.myanimelist.net/r/50x70/images/anime/1117/138447.jpg?s=c2d47c86394deab37d740b983e80b756","5.37","234","1","Comedy","AQUA ARIS","A special episode of Shin Shinka no Mi Gekijou included with the BD/DVD release of the series.","#15285","#12549"
"12550","Tansa Quest!","","https://myanimelist.net/anime/34083/Tansa_Quest","https://cdn.myanimelist.net/r/50x70/images/anime/11/82036.jpg?s=ae2cae22e857278d9aa83b388a656991","5.37","184","1","Fantasy, School","A-1 Pictures","Commercial animated by A-1 Pictures for Tansa Quest!, a smartphone RPG.","#17260","#12550"
"12551","This Is Not Blue","","https://myanimelist.net/anime/42836/This_Is_Not_Blue","https://cdn.myanimelist.net/r/50x70/images/anime/1066/109137.jpg?s=b2e370e51d73610bbd9427208c0dcc37","5.37","646","1","Avant Garde, Music","add some","An experimental film by mareykrap about the color blue. Blue pigment in the natural world is very rare. Instead, what we typically observe is the reflection of blue light waves. How much ""true blue"" really exists in our world? A series of blue images. Or are they?","#13328","#12551"
"12552","Yuusei Shounen Papii","Prince Planet","https://myanimelist.net/anime/6448/Yuusei_Shounen_Papii","https://cdn.myanimelist.net/r/50x70/images/anime/8/46719.jpg?s=773dfdb32e19b161eeaad2b5fba616f6","5.37","315","52","Action, Sci-Fi, Space, Super Power","Eiken","Tells the story of a member of the Universal Peace Corps from the Planet Radion coming to Earth on a mission to determine if this world meets standards for membership in the Galactic Union of Worlds and assist its inhabitants during his stay. While on his mission Prince Planet adopts the identity of an Earth boy named Bobby and gains comrades who work together alongside him combating evil forces both alien and terrestrial.    (Source: Wikipedia)","#13971","#12552"
"12553","Sango no Umi to Ouji","The Prince and the Coral Sea","https://myanimelist.net/anime/10077/Sango_no_Umi_to_Ouji","https://cdn.myanimelist.net/r/50x70/images/anime/3/28054.jpg?s=60f94f44cadadc7e1dba949510623d49","5.36","296","1","Fantasy","Toei Animation","On the island of Okinawa, driven by his kindhearted nature, a boy named Ray determines to stop the destruction of the island's natural forests and coral reef, no matter what he has to give. What will he give to stop a tidal wave from killing the island's people?","#14862","#12553"
"12554","Ultraman Kids: M7.8 Sei no Yukai na Nakama","","https://myanimelist.net/anime/10909/Ultraman_Kids__M78_Sei_no_Yukai_na_Nakama","https://cdn.myanimelist.net/r/50x70/images/anime/1738/142520.jpg?s=734f16dc5ad715208f262a1a7f2a9f21","5.36","244","1","Super Power, Kids","add some","Educational anime based on the Ultraman franchise.","#14728","#12554"
"12555","Yoshichirou no Keirei","Yoshichiro Salutes","https://myanimelist.net/anime/34954/Yoshichirou_no_Keirei","https://cdn.myanimelist.net/r/50x70/images/anime/1766/92230.jpg?s=98a8cb4afc08abfc1c3d27547b33ae66","5.36","259","1","Historical, Samurai","add some","We should never forget our manners no matter how much we may excel in martial arts. Learn lessons from Yoshichiro's failure.   (Source: Japanese Animated Film Classics)","#16738","#12555"
"12556","Yume ga Shagandeiru","","https://myanimelist.net/anime/38644/Yume_ga_Shagandeiru","https://cdn.myanimelist.net/r/50x70/images/anime/1315/131432.jpg?s=097bdafdaec6ca1a20f0ac333b9394db","5.36","163","4","Avant Garde","add some","No synopsis information has been added to this title. Help improve our database by adding a synopsis here.","#18495","#12556"
"12557","11eyes Picture Drama","","https://myanimelist.net/anime/20557/11eyes_Picture_Drama","https://cdn.myanimelist.net/r/50x70/images/anime/6/54569.jpg?s=e56a9d05aa154864f9edbe5cc79f1379","5.36","1825","13","Comedy","Doga Kobo","Picture drama specials included on the seventh BD volume of the 11eyes series.  The stories focused on the Black Knights with jokes.","#8686","#12557"
"12558","Animagear","","https://myanimelist.net/anime/40033/Animagear","https://cdn.myanimelist.net/r/50x70/images/anime/1480/101749.jpg?s=83040a07ed927e6c07c3ff68df29c395","5.36","223","1","Mecha, Kids","add some","A promotional video for the new Bandai candy-toy line with Shokugan. Kids buy packaged candy boxes and pieces of the toy are in it, kids have to assemble their Animagear robot animal action figure. Certain ones are also interchangeable with parts for a hybrid robot animal. Candy-toys will hit stores in August with five Animagears in the line-up.","#17136","#12558"
"12559","ARP Backstage Pass: Celebrate Good Time - Short Stories","","https://myanimelist.net/anime/41360/ARP_Backstage_Pass__Celebrate_Good_Time_-_Short_Stories","https://cdn.myanimelist.net/r/50x70/images/anime/1327/106289.jpg?s=adf1feb6cd6da3ac5769de0cd53c9d53","5.36","433","1","Comedy, Idols (Male), Music","Dynamo Pictures","Short Stories of ARP Backstage Pass that describe the secret of the ARP members and everyday life.","#13579","#12559"
"12560","AWOL","","https://myanimelist.net/anime/12951/AWOL","https://cdn.myanimelist.net/r/50x70/images/anime/8/36369.jpg?s=561c9f5033b17c429d26c87d20c95145","5.36","443","12","Action, Sci-Fi, Military, Space","Studio Deen","Cyress is a peaceful place. People are going about their lives. Two lovers embrace, a family throws a birthday party for their child, a group of people party at a local restaurant. But suddenly, their surroundings explode into smoke and flame. A group of terrorists has snuck through the planetary defenses and has begun an assault. Defenseless, there is little the people of Cyress can do. As the military scrambles to discover what happened, the terrorists manage to hijack seven PDP missiles, which are capable of destroying an entire planet. These terrorists, who call themselves ""Solomon"" can now hold entire planets hostage! They must not be stopped.   (Source: Themanime)","#12292","#12560"
"12561","Cosmic Fantasy: Ginga Mehyou no Wana","","https://myanimelist.net/anime/5990/Cosmic_Fantasy__Ginga_Mehyou_no_Wana","https://cdn.myanimelist.net/r/50x70/images/anime/11/83228.jpg?s=548724838a00fb6bf523de9dee46bf09","5.36","787","1","Action, Comedy, Fantasy, Romance, Sci-Fi, Space","add some","Yuu and Saya are two of the top Cosmic Hunters in the galaxy, and Yuu is enjoying a bit of fame after his most recent adventure. The two are on a date when they are interrupted from a distress signal from their ""ally"", the feline pervert Nyan. In the meantime, the space pirate Belga begins attacking space freighters in an attempt to lure out Yuu, so she can take him to bed with her. Of course, when he spurns her, she decides that if she can't have him, then no one can.   (Source: AnimeNfo)","#12507","#12561"
"12562","Cybervenus FeiFei","Virtually Real: Cybervenus FeiFei","https://myanimelist.net/anime/50176/Cybervenus_FeiFei","https://cdn.myanimelist.net/r/50x70/images/anime/1765/118910.jpg?s=023b499d984af5376a81eb7fe7df6c67","5.36","147","6","Avant Garde, Sci-Fi","add some","Short CG clips compiled to an artsy DVD experience. FeiFei is a ""virtual idol"", the clips are entirely computer generated, except for the longest story where FeiFei is placed in a natural environment.   (Source: AniDB)","#16482","#12562"
"12563","Hashire Melos (1981)","Run Melos","https://myanimelist.net/anime/8554/Hashire_Melos_1981","https://cdn.myanimelist.net/r/50x70/images/anime/4/76807.jpg?s=2a29bd11b3e4bc7f5e71437fc2e544b0","5.36","505","1","Drama, Adult Cast, Historical","Toei Animation","Melos, a Greek country man gets arrested accused of conspiracy against the king. The king gives him three days to travel to his sister's wedding while Selinentius the sculptor and friend of Melos stays as a hostage. Will he get back in time before the king executes Selinentius instead of him?","#12580","#12563"
"12564","Holiday Advent Calendar 2018","","https://myanimelist.net/anime/38805/Holiday_Advent_Calendar_2018","https://cdn.myanimelist.net/r/50x70/images/anime/1459/98879.jpg?s=3c3e2ae9f2c1e37cfd770ab9a60480f3","5.36","135","13","Music","add some","Asami Ike made a Christmas Advent animation, each day was a new short animation counting down to Christmas. She posted each ep on her official Twitter page. 17 total pieces were made but advent day 12-15 used entirely live-action footage and as such are not included in the episode count. A compilation of the whole advent was posted to her official YouTube channel.","#19050","#12564"
"12565","Hyoutan","The Gourd-Bottle","https://myanimelist.net/anime/29671/Hyoutan","https://cdn.myanimelist.net/r/50x70/images/anime/13/71329.jpg?s=be9c551d97ebadedf7f1ee2634544fc7","5.36","192","1","Psychological","Studio Zero","Independent animation by Suzuki Shinichi.","#17719","#12565"
"12566","Joseito","School Girl","https://myanimelist.net/anime/6266/Joseito","https://cdn.myanimelist.net/r/50x70/images/anime/6/81193.jpg?s=beff6baf87b2e989439f2b851cfc404e","5.36","604","1","Drama, Slice of Life, School","Toei Animation","A sunny summer's day, the trembling insides of a girl are painted by Dazai Osamu's hidden masterpiece, ""School Girl,"" a ""Kaku Nime"" production. Dazai's new literature taste is that of a person's challenge. The format of a girl talking to herself is presented by Motosaku, a Dazai Osamu fan as well; a girls of the modern day's heart also will resound as the finishing touches are applied to this work.   (Source: AnimeNfo.com)","#11776","#12566"
"12567","Kaishain! Nourin Suisan-shou e Iku","","https://myanimelist.net/anime/39413/Kaishain_Nourin_Suisan-shou_e_Iku","https://cdn.myanimelist.net/r/50x70/images/anime/1326/99497.jpg?s=f25ccde0485bf1d3ee8281ea435683ed","5.36","113","1","Comedy","add some","A collaboration between Asa da yo! Kaishain and Japanese Ministry of Agriculture, Forestry, and Fisheries (MAFF); specifically the Fisheries department. As the Kaishain cast get lost in MAFF and learn about the work culture and business done at the ministry. This is in part to promote new job openings there.","#18643","#12567"
"12568","Kumo no Ito","Spider Silk","https://myanimelist.net/anime/28053/Kumo_no_Ito","https://cdn.myanimelist.net/r/50x70/images/anime/10/67923.jpg?s=45319d9afe9b753b9dfd6c978cb3daad","5.36","546","1","Fantasy","add some","An adaptation of the classic tale of the spider silk, where a man sentenced in Hell tries to escape by climbing a string of spider silk hanging from above.","#13003","#12568"
"12569","Lord of Vermilion: Guren no Ou","Lord of Vermilion: The Crimson King","https://myanimelist.net/anime/37601/Lord_of_Vermilion__Guren_no_Ou","https://cdn.myanimelist.net/r/50x70/images/anime/1557/95053.jpg?s=c208ac102467c3bad9a6fcac270b10dc","5.36","13446","12","Action, Fantasy","asread., Tear Studio","Set in Tokyo, it's January 29, 2030. High-frequency resonance is observed in the vicinity of Tokyo, and the red fog rolls into the city. Those who hear the sound, humans and animals alike, pass out, losing consciousness. Everything shuts down in Tokyo, believing that the fog is carrying an unknown virus that causes an epidemic. However, six days later, after the incident, people wake up as if nothing happened. After that, Tokyo's sealed-off city sections gradually return to normal. However, since the high-frequency resonance, some ""bizarre events"" start to happen, and people find themselves being pulled deeper into more mysteries. Meanwhile, young people start to become aware of themselves and release their power hidden in their blood, discovering themselves as ""vessel of wisdom blood."" Together, being led by something unknown, they meet, communicate, and face the unavoidable circle of fate, sacrificing their own lives.   (Source: MAL News)","#3436","#12569"
"12570","Nulu-chan to Boku","Nulu-chan and Me","https://myanimelist.net/anime/20869/Nulu-chan_to_Boku","https://cdn.myanimelist.net/r/50x70/images/anime/7/55135.jpg?s=fbd983db2f7a4c64a9fa07c0acfcd951","5.36","244","1","Comedy, Fantasy","add some","A boy saves a strange, space-manipulating creature from certain death, but she doesn't seem to be grateful!","#16724","#12570"
"12571","Oira no Yakyuu","Our Baseball Match","https://myanimelist.net/anime/5826/Oira_no_Yakyuu","https://cdn.myanimelist.net/r/50x70/images/anime/1607/113878.jpg?s=0b0f6f8412b75aeaac5d816cd23a848a","5.36","1225","1","Sports, Team Sports","add some","Movie from 1930 about a baseball game between rabbits and tanuki.","#11621","#12571"
"12572","Okubyou na Venus","","https://myanimelist.net/anime/9826/Okubyou_na_Venus","https://cdn.myanimelist.net/r/50x70/images/anime/1733/112137.jpg?s=5cdcec2ef95cbc35c411484351a7b7d1","5.36","456","1","Music","Toei Animation","Story about a singer/dancer. There is music and singing throughout almost the entire OVA.","#13357","#12572"
"12573","Opette","","https://myanimelist.net/anime/42601/Opette","https://cdn.myanimelist.net/r/50x70/images/anime/1141/108737.jpg?s=dd474616a6c7b602a662e74f3db72fbd","5.36","127","1","Avant Garde, Music","add some","A short clay animation by Asami Ike.   The evolution of a piece of clay as it faces the problems of many walks of life.","#19825","#12573"
"12574","Robo to Shoujo (Kari)","","https://myanimelist.net/anime/11661/Robo_to_Shoujo_Kari","https://cdn.myanimelist.net/r/50x70/images/anime/3/34269.jpg?s=f90e025154dddf6858258980e23487da","5.36","941","9","Action, Comedy, Sci-Fi, Mecha","add some","Bomahead is about a girl and a robot who live in a junkyard. The robot claims he wants to fight for justice with hero-like abilities, but everything always turns out wrong. The mystery behind the girl and the robot are unraveled through a rapid succession of unexpected turn of events.","#11450","#12574"
"12575","Kamiusagi Rope Movie Episode 0","Paper Rabbit Rope Movie Episode 0","https://myanimelist.net/anime/13823/Kamiusagi_Rope_Movie_Episode_0","https://cdn.myanimelist.net/r/50x70/images/anime/12/38367.jpg?s=b4807ce5cacd839a3d67cde544a6c442","5.35","150","1","Comedy, Slice of Life","add some","A special episode made for the Kamiusagi Rope Movie premiere. It features paper squirrel Akira's older sister, who has trouble with choosing which earrings to wear for her date.","#17057","#12575"
